,Name,Code,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
20,Bangladesh,BGD,31708874594.1645,33166519417.9894,33768660882.793,37939748768.6567,46438484107.5795,48244309133.4895,49984559471.3656,51270569883.5275,53369787318.6245,53991289844.3291,54724081490.5102,60158929188.2556,65108544250.0425,69442943089.4309,71819083683.7403,79611888213.148,91631278239.3237,102477791472.39,115279077465.226,128637938711.386,133355749482.478,149990451022.29
32,Bhutan,BTN,240215763.888889,225998091.177435,258985597.704814,290464801.110083,303435517.922664,352260952.905536,363452787.203102,399268801.672085,424464089.897641,461444513.66815,520849551.532606,604041957.921855,682523857.01677,796938120.181406,874989895.601121,1168308516.63301,1227808790.6733,1234014291.82342,1547991317.81183,1777101316.67756,1781281281.57912,1756215665.09323
109,India,IND,288208430383.964,279296022987.919,327275583539.559,360281952716.797,392897054348.071,415867753863.874,421351477504.743,458820417337.807,468394937262.37,485441014538.638,514937948870.08,607699285433.872,709148514804.659,820381595512.902,940259888792.141,1216735441524.86,1198895582137.51,1341886602798.69,1675615335600.56,1823049927772.05,1827637859506.25,1856722121394.42
138,Sri Lanka,LKA,9703011635.86585,10338679635.7616,11717604208.8223,13029697560.9756,13897738375.2488,15091913883.7091,15794972847.1683,15656327859.5696,16330814179.9766,15749753804.8344,16536535647.0834,18881765437.2151,20662525941.2985,24405791044.7761,28279814924.5918,32350248410.8216,40713812309.7316,42066217871.5349,58636150709.5507,67753288946.2507,70447191495.6812,77000596661.4756
178,Nepal,NPL,3401211581.29176,3660041666.66667,4066775510.20408,4401104417.67068,4521580381.47139,4918691916.53516,4856255044.39064,5033642384.10596,5494252207.90502,6007055042.17687,6050875806.66403,6330473096.54071,7273938314.71988,8130258041.46706,9043715355.8881,10325618017.379,12545438605.3959,12854985464.0764,16002656434.4746,21573862466.8268,21703106501.9674,22162208956.1412
184,Pakistan,PAK,48884606848.1265,51809949334.2396,52293456906.2665,60636022422.6176,63320122807.1223,62433300338.0941,62191955814.3478,62973855718.8874,82017743416.2841,79484403984.8849,79904985384.8652,91760542940.0717,107759683863.123,120055291992.938,137264061106.043,152385716311.916,170077814106.305,168152775283.032,177165635077.065,213587413183.996,224383620829.57,231218567178.979
